sample,subject,model,score_type,score
picking_sides_sample0_correct,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample0_correct,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample0_correct,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample0_correct,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample0_correct,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample0_correct,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample0_correct,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample0_wrong,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample0_wrong,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample0_wrong,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample0_wrong,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample0_wrong,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample0_wrong,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample0_wrong,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample1_correct,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample1_correct,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample1_correct,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample1_correct,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample1_correct,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample1_correct,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample1_correct,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample1_wrong,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample1_wrong,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample1_wrong,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample1_wrong,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample1_wrong,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample1_wrong,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample1_wrong,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample2_correct,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample2_correct,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample2_correct,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample2_correct,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample2_correct,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample2_correct,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample2_correct,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample2_wrong,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample2_wrong,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample2_wrong,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample2_wrong,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample2_wrong,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample2_wrong,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample2_wrong,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample3_correct,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample3_correct,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample3_correct,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample3_correct,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample3_correct,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample3_correct,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample3_correct,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample3_wrong,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample3_wrong,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample3_wrong,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample3_wrong,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample3_wrong,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample3_wrong,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample3_wrong,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample4_correct,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample4_correct,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample4_correct,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample4_correct,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample4_correct,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample4_correct,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample4_correct,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample4_wrong,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample4_wrong,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample4_wrong,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample4_wrong,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample4_wrong,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample4_wrong,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample4_wrong,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample5_correct,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample5_correct,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample5_correct,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample5_correct,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample5_correct,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample5_correct,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample5_correct,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample5_wrong,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample5_wrong,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample5_wrong,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample5_wrong,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample5_wrong,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample5_wrong,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample5_wrong,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample6_correct,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample6_correct,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample6_correct,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample6_correct,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample6_correct,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample6_correct,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample6_correct,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample6_wrong,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample6_wrong,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample6_wrong,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample6_wrong,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample6_wrong,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample6_wrong,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample6_wrong,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample7_correct,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample7_correct,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample7_correct,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample7_correct,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample7_correct,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample7_correct,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample7_correct,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample7_wrong,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample7_wrong,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample7_wrong,elementary_mathematics,llama8b,BSS,0.81
picking_sides_sample7_wrong,elementary_mathematics,qwen3b,BSS,0.2
picking_sides_sample7_wrong,elementary_mathematics,qwen7b,BSS,0.05
picking_sides_sample7_wrong,elementary_mathematics,qwen14b,BSS,0.18
picking_sides_sample7_wrong,elementary_mathematics,qwen32b,BSS,0.1
picking_sides_sample8_correct,elementary_mathematics,llama1b,BSS,0.65
picking_sides_sample8_correct,elementary_mathematics,llama3b,BSS,0.01
picking_sides_sample8_correct,elementary_mathematics,llama8b,BSS,0.81
