subject,question,answer,answer_letter,choice_A,choice_B,choice_C,choice_D
abstract_algebra,Compute the product in the given ring. (20)(-8) in Z_26,3,D,0,1,11,22
abstract_algebra,"For T: Z x Z -> Z where T(1, 0) = 3 and T(0, 1) = -5, find T(-3,2).",0,A,-19,-10,19,10
abstract_algebra,Statement 1 | In a group (ab)^{-2} = b^{-2}a^{-2}. Statement 2 | In a group (ab)^n = a^nb^n.,1,B,"True, True","False, False","True, False","False, True"
abstract_algebra,Find the generator for the finite field Z_11.,1,B,1,2,3,4
abstract_algebra,"If A = (1, 2, 3, 4). Let ~= {(1, 2), (1, 3), (4, 2)}. Then ~ is",1,B,not anti-symmetric,transitive,reflexive,symmetric
abstract_algebra,Statement 1 | Every free abelian group is torsion free. Statement 2 | Every finitely generated torsion-free abelian group is a free abelian group.,0,A,"True, True","False, False","True, False","False, True"
abstract_algebra,Find all c in Z_3 such that Z_3[x]/(x^3 + cx^2 + 1) is a field.,1,B,0,2,1,3
abstract_algebra,"If (G, .) is a group such that (ab)^-1 = a^-1b^-1, for all a, b in G, then G is a/an",1,B,commutative semi group,abelian group,non-abelian group,None of these
abstract_algebra,"Statement 1 | If a group has an element of order 10, then it has elements of orders 1, 2, and 5. Statement 2 | If a group has an element of order 2 and an element of order 3, then it has an element of order 6.",2,C,"True, True","False, False","True, False","False, True"
abstract_algebra,"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",1,B,"True, True","False, False","True, False","False, True"
anatomy,Which of the following best describes the structure that collects urine in the body?,0,A,Bladder,Kidney,Ureter,Urethra
anatomy,The auditory tube,2,C,connects the inner ear and nasopharynx.,is derived from the second pharyngeal pouch.,is opened by the action of levator veli palatini.,is closed by the action of tensor veli palatini.
anatomy,Loss of somatic sensation over the anterior two-thirds of the tongue indicates damage to the,0,A,lingual branch of the mandibular trigeminal nerve.,chorda tympani branch of the facial nerve.,lingual branch of the glossopharyngeal nerve.,hypoglossal nerve.
anatomy,Which cells in the blood do not have a nucleus?,2,C,Lymphocyte,Monocyte,Erythrocyte,Basophil
anatomy,Which of the following closes and seals off the lower airway during swallowing?,1,B,Alveoli,Epiglottis,Larynx,Uvula
anatomy,A successful infraorbital nerve block will produce anaesthesia of the,2,C,maxillary anterior teeth.,maxillary anterior teeth and their labial gingivae.,"maxillary anterior teeth, their labial gingivae and the upper lip.","maxillary anterior teeth, their labial gingivae, the upper lip and anterior hard palate."
anatomy,A patient is stabbed in the neck. You suspect damage to the accessory nerve in the posterior triangle. You would test nerve function by asking the patient to,2,C,extend their neck against resistance.,extend their neck without impairment.,lift their shoulders against resistance.,lift their shoulders without impairment.
anatomy,Which of the following allows air to pass into the lungs?,2,C,Aorta,Esophagus,Trachea,Pancreas
anatomy,Where are the vital centres located in the brainstem?,2,C,midbrain,pons,medulla oblongata,cerebellum
anatomy,Fertilization of an ovum by a spermatozoon occurs in which of the following structures?,1,B,Cervix,Fallopian tube,Ovary,Uterus
astronomy,The terrestrial planet cores contain mostly metal because,3,D,the entire planets are made mostly of metal.,radioactivity created metals in the core from the decay of uranium.,metals condensed first in the solar nebula and the rocks then accreted around them.,metals differentiated to the center during a time when the interiors were molten throughout.
astronomy,Why is it thought that the climate on Mars changed when the planet lost its strong magnetic field?,2,C,without a strong magnetic field the ozone layer was destroyed by the solar wind which stopped the greenhouse effect and cooled Mars down.,without a strong magnetic field which enhances the greenhouse effect Mars cooled down.,without a strong magnetic field the solar wind stripped away most of the atmosphere significantly reducing the greenhouse effect and cooling Mars down,without a strong magnetic field the planet recieves fewer charged particles from the solar wind and therefore is not heated as much
astronomy,Which of the following is not true?,0,A,The Earth and Venus are in a 1:1 orbital resonance (for every 1 Earth orbit there is exactly 1 Venus orbit),Neptune and Pluto are in a 3:2 orbital resonance (for every 3 Neptune orbits there are exactly 2 Pluto orbits),The Kirkwood Gaps in the asteroid belt are due to resonances with Jupiter,Neptune and Pluto won't collide because of their orbital resonance
astronomy,Our current best observations show that Pluto has,0,A,one medium sized satellite and two small satellites.,no satellites.,one large satellite and three small satellites.,one large satellite.
astronomy,Which statement about an atom is not true:,2,C,The nucleus contains most of the atom’s mass but almost none of its volume.,A neutral atom always has equal numbers of electrons and protons.,A neutral atom always has equal numbers of neutrons and protons.,The electrons can only orbit at particular energy levels.
astronomy,What is the source of the material that causes meteor showers?,3,D,Near-Earth asteroids gradually disintegrate and spread out along their orbital path. When the Earth passes through the orbit of an asteroid we are bombarded by sand-sized particles which cause a meteor shower.,Near-Earth asteroids disintegrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a single location in the sky.,The nuclei of comets disintigrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a central location in the sky.,The nuclei of comets gradually disintegrate and spread out along the comet's orbital path. When the Earth passes through the orbit of a comet we are bombarded by sand-sized particles which cause a meteor shower.
astronomy,Which of the following countries has sent landers to Venus?,0,A,The U.S.S.R.,The U.S.,France,A and B
